,series,SpeciesID,SamplePurpose,Latitude,Longitude,Easting,Northing,Elevation,Patch_loc
205,SNN83,PIPO,FireScar,36.003524,-106.8658112,331837.0913,3985949.184,2651,Interior
206,SNN84,PIPO,Chron,36.00428017,-106.8669098,331739.6724,3986034.965,2652.300049,Interior
207,SNN85,QUGA,AGE,36.004315,-106.866642,331763.8853,3986038.366,2664.219971,Interior
208,SNN86,QUGA,AGE,36.004315,-106.866642,331763.8853,3986038.366,2664.219971,Interior
209,SNN87,POTR,AGE,36.004315,-106.866642,331763.8853,3986038.366,2664.219971,Interior
210,SNN88,POTR,AGE,36.004315,-106.866642,331763.8853,3986038.366,2664.219971,Interior
211,SNN89,PIPO,FireScar,36.00529917,-106.8656015,331859.764,3986145.747,2728.399902,Edge
212,SNN9,POTR,AGE,36.00631,-106.86074,332300.1039,3986249.502,2758.191406,Interior
213,SNN90,PIPO,FireScar,36.00558983,-106.8658313,331839.6681,3986178.387,2729.199951,Exterior
214,SNN91,PIPO,FireScar,36.00556867,-106.8658458,331838.3162,3986176.065,2730.5,Exterior
215,SNN92,PIPO,FireScar,36.00415883,-106.8691212,331540.0837,3986025.326,2702.300049,Edge
216,SNN93,PIPO,FireScar,36.0035875,-106.8725387,331230.8195,3985967.861,2680.699951,Exterior
217,SNS01,QUGA,AGE,35.9807935,-106.8704192,331373.3404,3983435.587,2543.199951,Interior
218,SNS02,QUGA,AGE,35.9807935,-106.8704192,331373.3404,3983435.587,2543.199951,Interior
219,SNS03,PIPO,FireScar,35.980354,-106.8704823,331366.7156,3983386.941,2528.600098,Interior
220,SNS04,PIPO,GC,35.97996667,-106.8704418,331369.5428,3983343.904,2518.5,Interior
221,SNS05,PIPO,DD,35.9793735,-106.8703202,331379.2446,3983277.891,2518.600098,Interior
222,SNS06,QUGA,AGE,35.97941717,-106.8702717,331383.7106,3983282.652,2521.899902,Interior
223,SNS07,QUGA,AGE,35.97941717,-106.8702717,331383.7106,3983282.652,2521.899902,Interior
224,SNS08,QUGA,AGE,35.97941717,-106.8702717,331383.7106,3983282.652,2521.899902,Interior
225,SNS09,PIPO,DD,35.979463,-106.8695258,331451.0629,3983286.446,2534.300049,Interior
226,SNS10,QUGA,AGE,35.97851283,-106.8690293,331493.8096,3983180.183,2527.399902,Interior
227,SNS11,QUGA,AGE,35.97851283,-106.8690293,331493.8096,3983180.183,2527.399902,Interior
228,SNS12,PIPO,FireScar,35.97827917,-106.86922,331476.1177,3983154.592,2522.600098,Interior
229,SNS13,PIPO,FireScar,35.97779883,-106.8687905,331513.8232,3983100.564,2525.899902,Interior
230,SNS14,PIPO,FireScar,35.97988533,-106.8683975,331553.695,3983331.346,2531.699951,Interior
231,SNS15,PIPO,GC,35.97356733,-106.8664787,331713.2871,3982627.16,2502.800049,Edge
232,SNS16,PIPO,FireScar,35.97352217,-106.8664965,331711.5861,3982622.181,2504,Edge
